Name,Address,State,City,Phone,Email,PPN
Agarwal Eye Care Hospital,72 A  PROFESSOR COLONY  HARI PARWAT  AGRA  282002,Uttar Pradesh,Agra,9012382178,agarwaleyehospitaltpa@gmail.com,No
Agarwal Hospital,G35 Kamla Nagar Agra,Uttar Pradesh,Agra,8218552863,AGARWALHOSPITAL04@GMAIL.COM,No
Agra Heart Centre( Unit Of Rawat Medicare Ltd),5 Church Road  Civil Lines  Ram Nagar,Uttar Pradesh,Agra,2850356,agraheartcentre96@gmail.com,No
Amit Jaggi Memorial Hospital,Vaibhav Nagar  Agra,Uttar Pradesh,Agra,0562 - 2330600-604,amitjaggi@sify.com,No
Atul Nursing Home,1/58  Delhi Gate Agra  282002  Uttarpradesh,Uttar Pradesh,Agra,562-4001665/2852792,atulnursinghome@ymail.com,No
Bansal Advanced Neurology And Maternity Centre,Plot No 7 Kanhaiya Enclave  Bye Pass Khandari Crossing  Kendriya Hindi Sansthaan Road,Uttar Pradesh,Agra,9456091370,BANAMC2022@GMAIL.COM,No
Blossoms Hospital,2  Nasirabad Colony  Khandari  Agra  Uttar Pradesh,Uttar Pradesh,Agra,7500293777,bcfagra@gmail.com,No
Centre For Sight,Ashoka Plaza  1st & 2nd Floor  Jawahar Nagar  NH – 2  Bypass Road  Near Omax SRK Mall  Agra – 282002,Uttar Pradesh,Agra,5624061450,infoagra2@centreforsight.net,Yes
Centre For Trauma And Joint Replacement,5   A   Mahatma Gandhi Marg  Near St Johns College  Agra,Uttar Pradesh,Agra,8755053777,CTJRHOSPITALS@GMAIL.COM,No
Deepak Hospital,130 Manas Nagar Shahganj  Near Sea Cable Head Office   Agra,Uttar Pradesh,Agra,0562-3265602,DEEPAKHOSPITAL130@GMAIL.COM,No
G G Medical Institute And Research Centre,106/2 Sanjay Place Agra,Uttar Pradesh,Agra,4000666,GGMEDICALINSTITUTE@GMAIL.COM,No
J J Hospital And Research Centre,144  Sector-12C  Avas Vikas Colony  Sikandra  Agra  U.P.-282007,Uttar Pradesh,Agra,6399922266,JJHOSPITALAGRA@GMAIL.COM,No
Javitri Devi Memorial Hospital,57/10J/19  WEST ARJUN NAGAR  AGRA  282001,Uttar Pradesh,Agra,2400069,drnavendrasingh@gmail.com,No
